condition,year,growth_rate_pct,ed_visits,admissions,avoidable_admissions,avg_cost,avoidable_cost,effective_capacity_fte,capacity_per_100k,net_change_fte,required_capacity_fte,capacity_gap_fte,gap_ratio,gap_severity,scenario
Mental Health,2034,3.5000000000000004,705299.3803105605,3526.4969015528027,881.6242253882007,12000.0,10579490.704658408,4389.266872165366,28.876755737930043,213.54687216536604,3526.4969015528022,-862.7699706125641,0.8034364289663408,LOW,Optimistic
Chronic Kidney Disease,2034,1.5661068253373989,93449.72837841927,934.4972837841927,327.07404932446747,18500.0,6050869.912502648,2672.965264569165,17.58529779321819,130.04526456916483,467.2486418920964,-2205.7166226770687,0.17480535496872932,LOW,Optimistic
Heart Failure,2034,3.42,167968.01133985555,540.297103143202,216.1188412572808,17200.0,3717244.0696252296,2415.940479482551,15.894345259753626,117.54047948255084,839.8400566992777,-1576.1004227832732,0.34762448157628273,LOW,Optimistic
COPD,2034,-14.393334511417422,31707.86996495597,160.6532078224436,72.29394352009962,15800.0,1142244.307617574,3685.8438958036695,24.248972998708354,179.32389580366953,158.53934982477986,-3527.3045459788896,0.04301303970178357,LOW,Optimistic
Type 2 Diabetes,2034,1.8000000000000003,215154.42630258016,411.1840147115976,156.2499255904071,14200.0,2218748.943383781,5936.166736081873,39.05372852685443,288.80673608187317,1075.7721315129008,-4860.394604568972,0.18122336843640566,LOW,Optimistic
Hypertension,2034,1.5,116054.0825025149,232.1081650050298,97.48542930211251,11500.0,1121082.4369742938,7390.6503595893555,48.6226997341405,359.57035958935467,580.2704125125745,-6810.379947076781,0.07851412044674454,LOW,Optimistic
Stroke,2034,-6.259416079710912,47154.055904123124,261.9669772451285,73.35075362863599,22000.0,1613716.5798299916,1909.9216199181146,12.565273815250753,92.92161991811463,235.77027952061562,-1674.151340397499,0.12344500269635356,LOW,Optimistic
Pneumonia,2029,0.11,221212.66492981097,1160.3609787681903,348.10829363045707,16785.0,5842997.708587222,3755.301011900971,24.705927709874807,-294.7789880990299,1106.063324649055,-2649.237687251916,0.29453386589884967,LOW,Pessimistic
Mental Health,2029,3.5000000000000004,593843.1528234372,2969.215764117186,742.3039410292965,12000.0,8907647.292351559,3871.7964932581876,25.472345350382813,-303.9235067418126,2969.215764117186,-902.5807291410015,0.7668832205637277,LOW,Pessimistic
Chronic Kidney Disease,2029,1.5661068253373989,86463.73962692998,864.6373962692998,302.6230886942549,18500.0,5598527.1408437155,2357.837388195595,15.512088080234179,-185.08261180440513,432.3186981346499,-1925.5186900609451,0.18335390739795443,LOW,Pessimistic
Heart Failure,2029,3.42,141972.3964747467,456.67787532710184,182.67115013084074,17200.0,3141943.7822504607,2131.114409037152,14.02048953313916,-167.2855909628479,709.8619823737334,-1421.2524266634186,0.3330942624964244,LOW,Pessimistic
COPD,2029,-14.393334511417422,68965.06720611092,349.4230071776286,157.24035322993288,15800.0,2484397.5810329393,3251.303209875111,21.39015269654678,-255.21679012488903,344.8253360305546,-2906.4778738445566,0.10605757561559447,LOW,Pessimistic
Type 2 Diabetes,2029,1.8000000000000003,196793.79241852227,376.09480328873144,142.91602524971796,14200.0,2029407.558545995,5236.325386799535,34.44950912368115,-411.03461320046426,983.9689620926114,-4252.356424706924,0.18791211191213184,LOW,Pessimistic
Hypertension,2029,1.5,107728.40038843745,215.4568007768749,90.49185632628746,11500.0,1040656.3477523058,6519.333405452899,42.89035135166381,-511.7465945471022,538.6420019421872,-5980.691403510711,0.08262225114789443,LOW,Pessimistic
Stroke,2029,-6.259416079710912,65144.95399776625,361.91641109870136,101.33659510763638,22000.0,2229405.0923680007,1684.7523847983405,11.083897268410135,-132.24761520165953,325.72476998883127,-1359.0276148095093,0.1933368802014306,LOW,Pessimistic
Pneumonia,2034,0.11,222432.01420613105,1166.7570199721602,350.02710599164806,16785.0,5875204.974069812,3481.9770695849106,22.9077438788481,-568.1029304150902,1112.1600710306552,-2369.8169985542554,0.31940476597200473,LOW,Pessimistic
Mental Health,2034,3.5000000000000004,705299.3803105605,3526.4969015528027,881.6242253882007,12000.0,10579490.704658408,3589.9936023503487,23.61837896283124,-585.7263976496515,3526.4969015528022,-63.49670079754651,0.9823128651939727,LOW,Pessimistic
Chronic Kidney Disease,2034,1.5661068253373989,93449.72837841927,934.4972837841927,327.07404932446747,18500.0,6050869.912502648,2186.22573622962,14.383064054142238,-356.6942637703801,467.2486418920964,-1718.9770943375236,0.21372387770803422,LOW,Pessimistic
Heart Failure,2034,3.42,167968.01133985555,540.297103143202,216.1188412572808,17200.0,3717244.0696252296,1976.0044484884143,13.000029266371147,-322.39555151158584,839.8400566992777,-1136.1643917891365,0.42501931478025307,LOW,Pessimistic
COPD,2034,-14.393334511417422,31707.86996495597,160.6532078224436,72.29394352009962,15800.0,1142244.307617574,3014.66199039053,19.83330256835875,-491.8580096094702,158.53934982477986,-2856.12264056575,0.052589428045378354,LOW,Pessimistic
Type 2 Diabetes,2034,1.8000000000000003,215154.42630258016,411.1840147115976,156.2499255904071,14200.0,2218748.943383781,4855.207310396593,31.94215335787232,-792.1526896034065,1075.7721315129008,-3779.435178883692,0.22157079249928618,LOW,Pessimistic
Hypertension,2034,1.5,116054.0825025149,232.1081650050298,97.48542930211251,11500.0,1121082.4369742938,6044.833517959416,39.76864156552247,-986.2464820405849,580.2704125125745,-5464.563105446841,0.09599444067211618,LOW,Pessimistic
Stroke,2034,-6.259416079710912,47154.055904123124,261.9669772451285,73.35075362863599,22000.0,1613716.5798299916,1562.1302135848628,10.27717245779515,-254.86978641513724,235.77027952061562,-1326.3599340642472,0.15092869817782792,LOW,Pessimistic
