1,2,3,4,5,6,7,8,9,10,11
2018ManitobaAll physicians,2018,Manitoba,All physicians,2918,—,—,—,—,—,—
2018New BrunswickAll physicians,2018,New Brunswick,All physicians,1885,—,—,—,—,—,—
2018Newfoundland and LabradorAll physicians,2018,Newfoundland and Labrador,All physicians,1414,—,—,—,—,—,—
2018Northwest TerritoriesAll physicians,2018,Northwest Territories,All physicians,41,—,—,—,—,—,—
2018Nova ScotiaAll physicians,2018,Nova Scotia,All physicians,2616,—,—,—,—,—,—
2018NunavutAll physicians,2018,Nunavut,All physicians,17,—,—,—,—,—,—
2018OntarioAll physicians,2018,Ontario,All physicians,33872,—,—,—,—,—,—
2018Prince Edward IslandAll physicians,2018,Prince Edward Island,All physicians,305,—,—,—,—,—,—
2018Provinces/territories with available dataAll physicians,2018,Provinces/territories with available data,All physicians,89772,—,—,—,—,—,—
2018QuebecAll physicians,2018,Quebec,All physicians,20878,—,—,—,—,—,—
2018SaskatchewanAll physicians,2018,Saskatchewan,All physicians,2390,—,—,—,—,—,—
2018YukonAll physicians,2018,Yukon,All physicians,77,—,—,—,—,—,—
2018AlbertaFamily medicine physicians,2018,Alberta,Family medicine physicians,5489,—,—,—,—,—,—
2018British ColumbiaFamily medicine physicians,2018,British Columbia,Family medicine physicians,6721,—,—,—,—,—,—
2018ManitobaFamily medicine physicians,2018,Manitoba,Family medicine physicians,1488,—,—,—,—,—,—
2018New BrunswickFamily medicine physicians,2018,New Brunswick,Family medicine physicians,1026,—,—,—,—,—,—
2018Newfoundland and LabradorFamily medicine physicians,2018,Newfoundland and Labrador,Family medicine physicians,724,—,—,—,—,—,—
2018Northwest TerritoriesFamily medicine physicians,2018,Northwest Territories,Family medicine physicians,35,—,—,—,—,—,—
2018Nova ScotiaFamily medicine physicians,2018,Nova Scotia,Family medicine physicians,1292,—,—,—,—,—,—
2018NunavutFamily medicine physicians,2018,Nunavut,Family medicine physicians,12,—,—,—,—,—,—
2018OntarioFamily medicine physicians,2018,Ontario,Family medicine physicians,16814,—,—,—,—,—,—
2018Prince Edward IslandFamily medicine physicians,2018,Prince Edward Island,Family medicine physicians,174,—,—,—,—,—,—
2018Provinces/territories with available dataFamily medicine physicians,2018,Provinces/territories with available data,Family medicine physicians,45450,—,—,—,—,—,—
2018QuebecFamily medicine physicians,2018,Quebec,Family medicine physicians,10292,—,—,—,—,—,—
2018SaskatchewanFamily medicine physicians,2018,Saskatchewan,Family medicine physicians,1319,—,—,—,—,—,—
2018YukonFamily medicine physicians,2018,Yukon,Family medicine physicians,64,—,—,—,—,—,—
2018AlbertaSpecialists,2018,Alberta,Specialists,5317,—,—,—,—,—,—
2018British ColumbiaSpecialists,2018,British Columbia,Specialists,5832,—,—,—,—,—,—
2018ManitobaSpecialists,2018,Manitoba,Specialists,1430,—,—,—,—,—,—
2018New BrunswickSpecialists,2018,New Brunswick,Specialists,859,—,—,—,—,—,—
2018Newfoundland and LabradorSpecialists,2018,Newfoundland and Labrador,Specialists,690,—,—,—,—,—,—
2018Northwest TerritoriesSpecialists,2018,Northwest Territories,Specialists,6,—,—,—,—,—,—
2018Nova ScotiaSpecialists,2018,Nova Scotia,Specialists,1324,—,—,—,—,—,—
2018NunavutSpecialists,2018,Nunavut,Specialists,5,—,—,—,—,—,—
2018OntarioSpecialists,2018,Ontario,Specialists,17058,—,—,—,—,—,—
2018Prince Edward IslandSpecialists,2018,Prince Edward Island,Specialists,131,—,—,—,—,—,—
2018Provinces/territories with available dataSpecialists,2018,Provinces/territories with available data,Specialists,44322,—,—,—,—,—,—
2018QuebecSpecialists,2018,Quebec,Specialists,10586,—,—,—,—,—,—
2018SaskatchewanSpecialists,2018,Saskatchewan,Specialists,1071,—,—,—,—,—,—
2018YukonSpecialists,2018,Yukon,Specialists,13,—,—,—,—,—,—
2019AlbertaAll physicians,2019,Alberta,All physicians,11205,—,—,—,—,—,—
2019British ColumbiaAll physicians,2019,British Columbia,All physicians,12757,—,—,—,—,—,—
2019ManitobaAll physicians,2019,Manitoba,All physicians,2979,—,—,—,—,—,—
2019New BrunswickAll physicians,2019,New Brunswick,All physicians,1923,—,—,—,—,—,—
2019Newfoundland and LabradorAll physicians,2019,Newfoundland and Labrador,All physicians,1357,—,—,—,—,—,—
2019Northwest TerritoriesAll physicians,2019,Northwest Territories,All physicians,44,—,—,—,—,—,—
2019Nova ScotiaAll physicians,2019,Nova Scotia,All physicians,2624,—,—,—,—,—,—
2019NunavutAll physicians,2019,Nunavut,All physicians,21,—,—,—,—,—,—
2019OntarioAll physicians,2019,Ontario,All physicians,34091,—,—,—,—,—,—
2019Prince Edward IslandAll physicians,2019,Prince Edward Island,All physicians,323,—,—,—,—,—,—
2019Provinces/territories with available dataAll physicians,2019,Provinces/territories with available data,All physicians,91372,—,—,—,—,—,—
2019QuebecAll physicians,2019,Quebec,All physicians,21485,—,—,—,—,—,—
2019SaskatchewanAll physicians,2019,Saskatchewan,All physicians,2484,—,—,—,—,—,—
2019YukonAll physicians,2019,Yukon,All physicians,79,—,—,—,—,—,—
2019AlbertaFamily medicine physicians,2019,Alberta,Family medicine physicians,5599,—,—,—,—,—,—
2019British ColumbiaFamily medicine physicians,2019,British Columbia,Family medicine physicians,6687,—,—,—,—,—,—
2019ManitobaFamily medicine physicians,2019,Manitoba,Family medicine physicians,1491,—,—,—,—,—,—
2019New BrunswickFamily medicine physicians,2019,New Brunswick,Family medicine physicians,1058,—,—,—,—,—,—
2019Newfoundland and LabradorFamily medicine physicians,2019,Newfoundland and Labrador,Family medicine physicians,692,—,—,—,—,—,—
2019Northwest TerritoriesFamily medicine physicians,2019,Northwest Territories,Family medicine physicians,37,—,—,—,—,—,—
2019Nova ScotiaFamily medicine physicians,2019,Nova Scotia,Family medicine physicians,1295,—,—,—,—,—,—
2019NunavutFamily medicine physicians,2019,Nunavut,Family medicine physicians,17,—,—,—,—,—,—
2019OntarioFamily medicine physicians,2019,Ontario,Family medicine physicians,16863,—,—,—,—,—,—
2019Prince Edward IslandFamily medicine physicians,2019,Prince Edward Island,Family medicine physicians,176,—,—,—,—,—,—
2019Provinces/territories with available dataFamily medicine physicians,2019,Provinces/territories with available data,Family medicine physicians,46131,—,—,—,—,—,—
2019QuebecFamily medicine physicians,2019,Quebec,Family medicine physicians,10786,—,—,—,—,—,—
2019SaskatchewanFamily medicine physicians,2019,Saskatchewan,Family medicine physicians,1363,—,—,—,—,—,—
2019YukonFamily medicine physicians,2019,Yukon,Family medicine physicians,67,—,—,—,—,—,—
2019AlbertaSpecialists,2019,Alberta,Specialists,5606,—,—,—,—,—,—
2019British ColumbiaSpecialists,2019,British Columbia,Specialists,6070,—,—,—,—,—,—
2019ManitobaSpecialists,2019,Manitoba,Specialists,1488,—,—,—,—,—,—
2019New BrunswickSpecialists,2019,New Brunswick,Specialists,865,—,—,—,—,—,—
2019Newfoundland and LabradorSpecialists,2019,Newfoundland and Labrador,Specialists,665,—,—,—,—,—,—
2019Northwest TerritoriesSpecialists,2019,Northwest Territories,Specialists,7,—,—,—,—,—,—
2019Nova ScotiaSpecialists,2019,Nova Scotia,Specialists,1329,—,—,—,—,—,—
2019NunavutSpecialists,2019,Nunavut,Specialists,4,—,—,—,—,—,—
2019OntarioSpecialists,2019,Ontario,Specialists,17228,—,—,—,—,—,—
2019Prince Edward IslandSpecialists,2019,Prince Edward Island,Specialists,147,—,—,—,—,—,—
2019Provinces/territories with available dataSpecialists,2019,Provinces/territories with available data,Specialists,45241,—,—,—,—,—,—
2019QuebecSpecialists,2019,Quebec,Specialists,10699,—,—,—,—,—,—
2019SaskatchewanSpecialists,2019,Saskatchewan,Specialists,1121,—,—,—,—,—,—
2019YukonSpecialists,2019,Yukon,Specialists,12,—,—,—,—,—,—
2020AlbertaAll physicians,2020,Alberta,All physicians,11197,—,—,—,—,—,—
2020British ColumbiaAll physicians,2020,British Columbia,All physicians,13073,—,—,—,—,—,—
2020ManitobaAll physicians,2020,Manitoba,All physicians,2987,—,—,—,—,—,—
2020New BrunswickAll physicians,2020,New Brunswick,All physicians,1949,—,—,—,—,—,—
2020Newfoundland and LabradorAll physicians,2020,Newfoundland and Labrador,All physicians,1361,—,—,—,—,—,—
2020Northwest TerritoriesAll physicians,2020,Northwest Territories,All physicians,52,—,—,—,—,—,—
2020Nova ScotiaAll physicians,2020,Nova Scotia,All physicians,2719,—,—,—,—,—,—
2020NunavutAll physicians,2020,Nunavut,All physicians,25,—,—,—,—,—,—
2020OntarioAll physicians,2020,Ontario,All physicians,33830,—,—,—,—,—,—
2020Prince Edward IslandAll physicians,2020,Prince Edward Island,All physicians,322,—,—,—,—,—,—
2020Provinces/territories with available dataAll physicians,2020,Provinces/territories with available data,All physicians,92173,—,—,—,—,—,—
2020QuebecAll physicians,2020,Quebec,All physicians,22038,—,—,—,—,—,—
2020SaskatchewanAll physicians,2020,Saskatchewan,All physicians,2535,—,—,—,—,—,—
2020YukonAll physicians,2020,Yukon,All physicians,85,—,—,—,—,—,—
2020AlbertaFamily medicine physicians,2020,Alberta,Family medicine physicians,5496,—,—,—,—,—,—
2020British ColumbiaFamily medicine physicians,2020,British Columbia,Family medicine physicians,6884,—,—,—,—,—,—
2020ManitobaFamily medicine physicians,2020,Manitoba,Family medicine physicians,1494,—,—,—,—,—,—
2020New BrunswickFamily medicine physicians,2020,New Brunswick,Family medicine physicians,1072,—,—,—,—,—,—
2020Newfoundland and LabradorFamily medicine physicians,2020,Newfoundland and Labrador,Family medicine physicians,684,—,—,—,—,—,—
2020Northwest TerritoriesFamily medicine physicians,2020,Northwest Territories,Family medicine physicians,40,—,—,—,—,—,—
2020Nova ScotiaFamily medicine physicians,2020,Nova Scotia,Family medicine physicians,1365,—,—,—,—,—,—
2020NunavutFamily medicine physicians,2020,Nunavut,Family medicine physicians,21,—,—,—,—,—,—
2020OntarioFamily medicine physicians,2020,Ontario,Family medicine physicians,16990,—,—,—,—,—,—
2020Prince Edward IslandFamily medicine physicians,2020,Prince Edward Island,Family medicine physicians,175,—,—,—,—,—,—
2020Provinces/territories with available dataFamily medicine physicians,2020,Provinces/territories with available data,Family medicine physicians,46797,—,—,—,—,—,—
2020QuebecFamily medicine physicians,2020,Quebec,Family medicine physicians,11098,—,—,—,—,—,—
2020SaskatchewanFamily medicine physicians,2020,Saskatchewan,Family medicine physicians,1407,—,—,—,—,—,—
2020YukonFamily medicine physicians,2020,Yukon,Family medicine physicians,71,—,—,—,—,—,—
2020AlbertaSpecialists,2020,Alberta,Specialists,5701,—,—,—,—,—,—
2020British ColumbiaSpecialists,2020,British Columbia,Specialists,6189,—,—,—,—,—,—
2020ManitobaSpecialists,2020,Manitoba,Specialists,1493,—,—,—,—,—,—
2020New BrunswickSpecialists,2020,New Brunswick,Specialists,877,—,—,—,—,—,—
2020Newfoundland and LabradorSpecialists,2020,Newfoundland and Labrador,Specialists,677,—,—,—,—,—,—
2020Northwest TerritoriesSpecialists,2020,Northwest Territories,Specialists,12,—,—,—,—,—,—
2020Nova ScotiaSpecialists,2020,Nova Scotia,Specialists,1354,—,—,—,—,—,—
2020NunavutSpecialists,2020,Nunavut,Specialists,4,—,—,—,—,—,—
2020OntarioSpecialists,2020,Ontario,Specialists,16840,—,—,—,—,—,—
2020Prince Edward IslandSpecialists,2020,Prince Edward Island,Specialists,147,—,—,—,—,—,—
2020Provinces/territories with available dataSpecialists,2020,Provinces/territories with available data,Specialists,45376,—,—,—,—,—,—
2020QuebecSpecialists,2020,Quebec,Specialists,10940,—,—,—,—,—,—
2020SaskatchewanSpecialists,2020,Saskatchewan,Specialists,1128,—,—,—,—,—,—
2020YukonSpecialists,2020,Yukon,Specialists,14,—,—,—,—,—,—
2021AlbertaAll physicians,2021,Alberta,All physicians,11085,—,—,—,—,—,—
2021British ColumbiaAll physicians,2021,British Columbia,All physicians,13540,—,—,—,—,—,—
2021ManitobaAll physicians,2021,Manitoba,All physicians,2996,—,—,—,—,—,—
2021New BrunswickAll physicians,2021,New Brunswick,All physicians,2022,—,—,—,—,—,—
2021Newfoundland and LabradorAll physicians,2021,Newfoundland and Labrador,All physicians,1378,—,—,—,—,—,—
2021Northwest TerritoriesAll physicians,2021,Northwest Territories,All physicians,53,—,—,—,—,—,—
2021Nova ScotiaAll physicians,2021,Nova Scotia,All physicians,2736,—,—,—,—,—,—
2021NunavutAll physicians,2021,Nunavut,All physicians,22,—,—,—,—,—,—
2021OntarioAll physicians,2021,Ontario,All physicians,34860,—,—,—,—,—,—
2021Prince Edward IslandAll physicians,2021,Prince Edward Island,All physicians,344,—,—,—,—,—,—
2021Provinces/territories with available dataAll physicians,2021,Provinces/territories with available data,All physicians,94119,—,—,—,—,—,—
2021QuebecAll physicians,2021,Quebec,All physicians,22451,—,—,—,—,—,—
2021SaskatchewanAll physicians,2021,Saskatchewan,All physicians,2547,—,—,—,—,—,—
2021YukonAll physicians,2021,Yukon,All physicians,85,—,—,—,—,—,—
2021AlbertaFamily medicine physicians,2021,Alberta,Family medicine physicians,5423,—,—,—,—,—,—
2021British ColumbiaFamily medicine physicians,2021,British Columbia,Family medicine physicians,7118,—,—,—,—,—,—
2021ManitobaFamily medicine physicians,2021,Manitoba,Family medicine physicians,1505,—,—,—,—,—,—
2021New BrunswickFamily medicine physicians,2021,New Brunswick,Family medicine physicians,1103,—,—,—,—,—,—
2021Newfoundland and LabradorFamily medicine physicians,2021,Newfoundland and Labrador,Family medicine physicians,695,—,—,—,—,—,—
2021Northwest TerritoriesFamily medicine physicians,2021,Northwest Territories,Family medicine physicians,42,—,—,—,—,—,—
2021Nova ScotiaFamily medicine physicians,2021,Nova Scotia,Family medicine physicians,1374,—,—,—,—,—,—
2021NunavutFamily medicine physicians,2021,Nunavut,Family medicine physicians,18,—,—,—,—,—,—
2021OntarioFamily medicine physicians,2021,Ontario,Family medicine physicians,17220,—,—,—,—,—,—
2021Prince Edward IslandFamily medicine physicians,2021,Prince Edward Island,Family medicine physicians,186,—,—,—,—,—,—
2021Provinces/territories with available dataFamily medicine physicians,2021,Provinces/territories with available data,Family medicine physicians,47449,—,—,—,—,—,—
2021QuebecFamily medicine physicians,2021,Quebec,Family medicine physicians,11334,—,—,—,—,—,—
2021SaskatchewanFamily medicine physicians,2021,Saskatchewan,Family medicine physicians,1360,—,—,—,—,—,—
2021YukonFamily medicine physicians,2021,Yukon,Family medicine physicians,71,—,—,—,—,—,—
2021AlbertaSpecialists,2021,Alberta,Specialists,5662,—,—,—,—,—,—
2021British ColumbiaSpecialists,2021,British Columbia,Specialists,6422,—,—,—,—,—,—
2021ManitobaSpecialists,2021,Manitoba,Specialists,1491,—,—,—,—,—,—
2021New BrunswickSpecialists,2021,New Brunswick,Specialists,919,—,—,—,—,—,—
2021Newfoundland and LabradorSpecialists,2021,Newfoundland and Labrador,Specialists,683,—,—,—,—,—,—
2021Northwest TerritoriesSpecialists,2021,Northwest Territories,Specialists,11,—,—,—,—,—,—
2021Nova ScotiaSpecialists,2021,Nova Scotia,Specialists,1362,—,—,—,—,—,—
2021NunavutSpecialists,2021,Nunavut,Specialists,4,—,—,—,—,—,—
2021OntarioSpecialists,2021,Ontario,Specialists,17640,—,—,—,—,—,—
2021Prince Edward IslandSpecialists,2021,Prince Edward Island,Specialists,158,—,—,—,—,—,—
2021Provinces/territories with available dataSpecialists,2021,Provinces/territories with available data,Specialists,46670,—,—,—,—,—,—
2021QuebecSpecialists,2021,Quebec,Specialists,11117,—,—,—,—,—,—
2021SaskatchewanSpecialists,2021,Saskatchewan,Specialists,1187,—,—,—,—,—,—
